org,count,category,code_id,code_display,concept_id,concept_name,vocab
YYY,"8,780",진단검사,L3010^^02,Albumin,1751-7,Albumin [Mass/volume] in Serum or Plasma,LOINC
ZZZ,399,진단검사,L3010^^01,Albumin,1751-7,Albumin [Mass/volume] in Serum or Plasma,LOINC
ZZZ,20,진단검사,L7122^^02,"Aldolase, 이원",1761-6,Aldolase [Enzymatic activity/volume] in Serum or Plasma,LOINC
XXX,3,진단검사,L7122^^01,"Aldolase, 이원",1761-6,Aldolase [Enzymatic activity/volume] in Serum or Plasma,LOINC
XXX,8,진단검사,L32451^^02,"Aldosterone (stimulation), 이원",1763-2,Aldosterone [Mass/volume] in Serum or Plasma,LOINC
XXX,6490,진단검사,L3020^^02,Amylase,1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,LOINC
XXX,1348,진단검사,L3020^^01,Amylase,1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,LOINC
YYY,7,진단검사,L3516^^02,"α2-macroglobulin, 이원",1835-8,Alpha-2-Macroglobulin [Mass/volume] in Serum or Plasma,LOINC
YYY,128,진단검사,L3065^^01,Apolipoprotein A1,1869-7,Apolipoprotein A-I [Mass/volume] in Serum or Plasma,LOINC
YYY,32,진단검사,L3065^^02,Apolipoprotein A1 (위탁전환),1869-7,Apolipoprotein A-I [Mass/volume] in Serum or Plasma,LOINC
ZZZ,10,진단검사,L30651^^02,"Apolipoprotein A1, 이원",1869-7,Apolipoprotein A-I [Mass/volume] in Serum or Plasma,LOINC
XXX,133,진단검사,L3066^^01,Apolipoprotein B,1884-6,Apolipoprotein B [Mass/volume] in Serum or Plasma,LOINC
XXX,29,진단검사,L3066^^02,Apolipoprotein B (위탁전환),1884-6,Apolipoprotein B [Mass/volume] in Serum or Plasma,LOINC
XXX,10,진단검사,L30661^^02,"Apolipoprotein B, 이원",1884-6,Apolipoprotein B [Mass/volume] in Serum or Plasma,LOINC
XXX,1,진단검사,L3519^^01,"Apolipoprotein E, 이원",1886-1,Apolipoprotein E [Mass/volume] in Serum or Plasma,LOINC
XXX,8,진단검사,L3284^^01,"Vitamin C (Ascorbic acid), 이원",1187,Ascorbate [Mass/volume] in Serum or Plasma,LOINC
YYY,10320,진단검사,L3014^^02,AST,7519,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LOINC
YYY,1122,진단검사,L3014^^01,Aspartate aminotransferase,7519,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LOINC
YYY,5516,진단검사,L3018^^02,Direct bilirubin,25020,Bilirubin.direct [Mass/volume] in Serum or Plasma,LOINC
ZZZ,1092,진단검사,L3018^^01,Direct bilirubin,25020,Bilirubin.direct [Mass/volume] in Serum or Plasma,LOINC
XXX,42,진단검사,L3187^^02,"T. bilirubin, other fluid",27150,Bilirubin.total [Mass/volume] in Body fluid,LOINC
XXX,10,진단검사,L3187^^01,"T. bilirubin, other fluid",27150,Bilirubin.total [Mass/volume] in Body fluid,LOINC
XXX,3428,진단검사,L3011^^02,Total bilirubin,27426,Bilirubin.total [Mass/volume] in Serum or Plasma,LOINC
XXX,381,진단검사,L3011^^01,Total bilirubin,27426,Bilirubin.total [Mass/volume] in Serum or Plasma,LOINC
XXX,1717,진단검사,L3248^^02,C-peptide,31656,C peptide [Mass/volume] in Serum or Plasma,LOINC
YYY,311,진단검사,L3248^^01,C-peptide,31656,C peptide [Mass/volume] in Serum or Plasma,LOINC
YYY,5,진단검사,L32481^^02,"C-peptide, 연속",31656,C peptide [Mass/volume] in Serum or Plasma,LOINC
YYY,1,진단검사,L32481^^01,"C-peptide, 연속",31656,C peptide [Mass/volume] in Serum or Plasma,LOINC
ZZZ,318,진단검사,L3878^^02,25-OH Vitamin D,32568,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,LOINC
XXX,145,진단검사,L3878^^01,"25-OH Vitamin D, Total",32568,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,LOINC
XXX,1,진단검사,L3881^^01,"TPMT genotyping, 이원",32568,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,LOINC
XXX,68,진단검사,L7101^^02,"1,25(OH)2 Vitamin D, Total, 이원",32874,Cholecalciferol (Vit D3) [Mass/volume] in Serum or Plasma,LOINC
XXX,4,진단검사,L7101^^01,"1,25(OH)2 Vitamin D, Total, 이원",32874,Cholecalciferol (Vit D3) [Mass/volume] in Serum or Plasma,LOINC
YYY,15,진단검사,L745906^^02,"Calcitonin, 이원",33786,Calcitonin [Mass/volume] in Serum or Plasma,LOINC
YYY,1,진단검사,L745906^^01,"Calcitonin, 이원",33786,Calcitonin [Mass/volume] in Serum or Plasma,LOINC
YYY,15,진단검사,L3047^^02,Total CO₂,46997,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",LOINC
ZZZ,2,진단검사,L35533^^02,L-Carnitine [씨젠],53022,Carnitine [Presence] in Serum or Plasma,LOINC
ZZZ,1,진단검사,L7292^^02,"Measles Virus IgM, 이원",57862,Catecholamines [Mass/time] in 24 hour Urine,LOINC
XXX,1,진단검사,L7292^^01,"Measles Virus IgM, 이원",57862,Catecholamines [Mass/time] in 24 hour Urine,LOINC
XXX,8,진단검사,L3508^^02,"Ceruloplasmin, 이원",59993,Ceruloplasmin [Mass/volume] in Serum or Plasma,LOINC
XXX,3,진단검사,L3508^^01,"Ceruloplasmin,이원",59993,Ceruloplasmin [Mass/volume] in Serum or Plasma,LOINC
XXX,66,진단검사,L3160^^02,"Chloride, CSF",62094,Chloride [Moles/volume] in Cerebral spinal fluid,LOINC
YYY,8,진단검사,L3160^^01,"Chloride, CSF",62094,Chloride [Moles/volume] in Cerebral spinal fluid,LOINC
YYY,8,진단검사,L3181^^02,"Chloride, other fluid",63006,Chloride [Moles/volume] in Body fluid,LOINC
YYY,962,진단검사,L31030^^02,Chloride (random urine),65106,Chloride [Moles/volume] in Urine,LOINC
ZZZ,66,진단검사,L31030^^01,"Chloride, random urine",65106,Chloride [Moles/volume] in Urine,LOINC
XXX,1,진단검사,L3103^^01,"Chloride, 24h urine",65412,Chloride [Moles/time] in 24 hour Urine,LOINC
XXX,3053,진단검사,L3062^^02,HDL-Cholesterol,67816,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC
XXX,878,진단검사,L3062^^01,HDL cholesterol,67816,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC
XXX,4638,진단검사,L3068^^02,LDL-Cholesterol,69034,Cholesterol in LDL [Mass/volume] in Serum or Plasma,LOINC
XXX,1572,진단검사,L3068^^01,LDL cholesterol,69034,Cholesterol in LDL [Mass/volume] in Serum or Plasma,LOINC
YYY,3146,진단검사,L3008^^02,Total cholesterol,70554,Cholesterol [Mass/volume] in Serum or Plasma,LOINC
YYY,88,진단검사,L3008^^01,Total cholesterol,70554,Cholesterol [Mass/volume] in Serum or Plasma,LOINC
YYY,14,진단검사,L6142^^02,HCG Urine,75301,Choriogonadotropin (pregnancy test) [Presence] in Urine,LOINC
ZZZ,2,진단검사,L6142^^01,HCG,75301,Choriogonadotropin (pregnancy test) [Presence] in Urine,LOINC
XXX,1439,진단검사,L3252^^02,Vit B12,84982,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,LOINC
XXX,271,진단검사,L3252^^01,Vitamin B12,84982,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,LOINC
XXX,8874,진단검사,L3022^^02,CK,94021,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,LOINC
XXX,1733,진단검사,L3022^^01,Creatine kinase,94021,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,LOINC
XXX,2427,진단검사,L31110^^02,Creatinine (random urine),95543,Creatinine [Mass/volume] in Urine,LOINC
YYY,486,진단검사,L31110^^01,"Creatinine, random urine",95543,Creatinine [Mass/volume] in Urine,LOINC
YYY,72,진단검사,L3111^^02,Creatinine (24hrs urine),95847,Creatinine [Mass/time] in 24 hour Urine,LOINC
YYY,13,진단검사,L3111^^01,"Creatinine, 24h urine",95847,Creatinine [Mass/time] in 24 hour Urine,LOINC
ZZZ,2,진단검사,L745910^^01,"DHEA-Sulfate, 이원",106408,Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma,LOINC
XXX,11,진단검사,L37161^^02,Epinephrine(plasma),120532,EPINEPHrine [Mass/volume] in Plasma,LOINC
XXX,31,진단검사,L3215^^02,Estradiol,125370,Estradiol (E2) [Mass/volume] in Serum or Plasma,LOINC
XXX,9,진단검사,L3215^^01,Estradiol (E2),125370,Estradiol (E2) [Mass/volume] in Serum or Plasma,LOINC
XXX,1638,진단검사,L3251^^02,Ferritin,137424,Ferritin [Mass/volume] in Serum or Plasma,LOINC
YYY,265,진단검사,L3251^^01,Ferritin,137424,Ferritin [Mass/volume] in Serum or Plasma,LOINC
YYY,732,진단검사,L3253^^02,Folic acid,140468,Folate [Mass/volume] in Serum or Plasma,LOINC
YYY,223,진단검사,L3253^^01,Folic acid,140468,Folate [Mass/volume] in Serum or Plasma,LOINC
ZZZ,6412,진단검사,L3016^^02,Gamma-glutamyl transferase(γ-GTP),154895,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,LOINC
ZZZ,1871,진단검사,L3016^^01,Gamma-glutamyl transferase,154895,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,LOINC
XXX,2,진단검사,L7205^^02,"Gastrin, 이원",158211,Gastrin [Mass/volume] in Serum or Plasma,LOINC
XXX,1,진단검사,L7205^^01,"Gastrin, 이원",158211,Gastrin [Mass/volume] in Serum or Plasma,LOINC
XXX,85,진단검사,L3159^^02,"Glucose, CSF",161529,Glucose [Mass/volume] in Cerebral spinal fluid,LOINC
XXX,12,진단검사,L3159^^01,"Glucose, CSF",161529,Glucose [Mass/volume] in Cerebral spinal fluid,LOINC
YYY,146,진단검사,L3164^^02,"Glucose, pleural fluid",163020,Glucose [Mass/volume] in Pleural fluid,LOINC
YYY,37,진단검사,L3164^^01,"Glucose, pleural fluid",163020,Glucose [Mass/volume] in Pleural fluid,LOINC
YYY,67,진단검사,L3172^^02,"Glucose, ascitic fluid",163324,Glucose [Mass/volume] in Peritoneal fluid,LOINC
ZZZ,12,진단검사,L3172^^01,"Glucose, ascitic fluid",163324,Glucose [Mass/volume] in Peritoneal fluid,LOINC
XXX,108,진단검사,L31080^^02,Glucose quan. (random urine),164542,Glucose [Mass/volume] in Urine,LOINC
XXX,49,진단검사,L31080^^01,"Glucose, random urine",164542,Glucose [Mass/volume] in Urine,LOINC
XXX,315,진단검사,L3523^^02,Immunoglobulin A,204020,IgA [Mass/volume] in Serum or Plasma,LOINC
XXX,40,진단검사,L3523^^01,Immunoglobulin A,204020,IgA [Mass/volume] in Serum or Plasma,LOINC
XXX,1,진단검사,L79256^^02,"IgD, 이원",204629,IgD [Mass/volume] in Serum,LOINC
YYY,1,진단검사,L353201^^02,"IgG (CSF), 이원",206151,IgG [Mass/volume] in Cerebral spinal fluid,LOINC
YYY,292,진단검사,L3522^^02,Immunoglobulin G,206424,IgG [Mass/volume] in Serum or Plasma,LOINC
YYY,44,진단검사,L3522^^01,Immunoglobulin G,206424,IgG [Mass/volume] in Serum or Plasma,LOINC
ZZZ,4,진단검사,L35251^^02,"IgG1, 씨젠",206730,IgG subclass 1 [Mass/volume] in Serum,LOINC
XXX,2,진단검사,L35251^^01,"Subclass IgG1, 씨젠",206730,IgG subclass 1 [Mass/volume] in Serum,LOINC
XXX,4,진단검사,L35252^^02,"IgG2, 씨젠",207338,IgG subclass 2 [Mass/volume] in Serum,LOINC
XXX,4,진단검사,L35253^^02,"IgG3, 씨젠",207642,IgG subclass 3 [Mass/volume] in Serum,LOINC
XXX,71,진단검사,L35254^^02,"IgG4, 씨젠",207946,IgG subclass 4 [Mass/volume] in Serum,LOINC
XXX,3,진단검사,L35254^^01,"Subclass IgG4, 씨젠",207946,IgG subclass 4 [Mass/volume] in Serum,LOINC
YYY,252,진단검사,L3524^^02,Immunoglobulin M,209165,IgM [Mass/volume] in Serum or Plasma,LOINC
YYY,40,진단검사,L3524^^01,Immunoglobulin M,209165,IgM [Mass/volume] in Serum or Plasma,LOINC
YYY,4,진단검사,L7268^^02,"IGF-1 (Somatomedin C), 이원",213395,Insulin-like growth factor-I [Mass/volume] in Serum or Plasma,LOINC
ZZZ,260,진단검사,L3051^^02,Iron,218508,Iron [Mass/volume] in Serum or Plasma,LOINC
XXX,43,진단검사,L3051^^01,Iron,218508,Iron [Mass/volume] in Serum or Plasma,LOINC
XXX,237,진단검사,L30511^^02,UIBC,219633,Iron binding capacity.unsaturated [Mass/volume] in Serum or Plasma,LOINC
XXX,42,진단검사,L30511^^01,Unsaturated iron-binding capacity,219633,Iron binding capacity.unsaturated [Mass/volume] in Serum or Plasma,LOINC
XXX,1684,진단검사,L8170^^02,Lactate (stat),228095,Lactate [Moles/volume] in Serum or Plasma,LOINC
YYY,59,진단검사,L8170^^01,Lactate (stat),228095,Lactate [Moles/volume] in Serum or Plasma,LOINC
YYY,4378,진단검사,L3061^^02,Triglyceride,245292,Triglyceride [Mass/volume] in Serum or Plasma,LOINC
YYY,141,진단검사,L3061^^01,Triglyceride,245292,Triglyceride [Mass/volume] in Serum or Plasma,LOINC
ZZZ,2,진단검사,L731011^^02,"글리벡내성유전자(Sequencing), 녹십자",245597,Lipoprotein lipase [Enzymatic activity/volume] in Serum or Plasma,LOINC
ZZZ,18549,진단검사,L3069^^02,Magnesium,256096,Magnesium [Moles/volume] in Serum or Plasma,LOINC
XXX,2413,진단검사,L3069^^01,Magnesium,256096,Magnesium [Moles/volume] in Serum or Plasma,LOINC
XXX,16,진단검사,L8168^^02,"Myoglobin (serum), 이원",269975,Myoglobin [Mass/volume] in Serum or Plasma,LOINC
XXX,14,진단검사,L8168^^01,"Myoglobin (serum), 이원",269975,Myoglobin [Mass/volume] in Serum or Plasma,LOINC
XXX,2,진단검사,L7247^^02,"Myoglobin, urine",270281,Myoglobin [Presence] in Urine,LOINC
YYY,14,진단검사,L35451^^02,"Myoglobin(urine), 이원",270890,Myoglobin [Mass/volume] in Urine,LOINC
YYY,4,진단검사,L35451^^01,"Myoglobin(urine), 이원",270890,Myoglobin [Mass/volume] in Urine,LOINC
YYY,11,진단검사,L37162^^02,Norepinephrine(plasma),279929,Norepinephrine [Mass/volume] in Plasma,LOINC
ZZZ,2376,진단검사,L8140^^02,"Osmolality, serum (stat)",289305,Osmolality of Serum or Plasma,LOINC
XXX,762,진단검사,L8140^^01,"Osmolality, serum (stat)",289305,Osmolality of Serum or Plasma,LOINC
XXX,1208,진단검사,L8141^^02,"Osmolality, urine (stat)",290490,Osmolality of Urine,LOINC
XXX,403,진단검사,L8141^^01,"Osmolality, urine (stat)",290490,Osmolality of Urine,LOINC
XXX,2,진단검사,L7440^^01,"Oxalate(24hrs urine), 이원",292561,Oxalate [Mass/time] in 24 hour Urine,LOINC
XXX,523,진단검사,L3222^^02,PTH(Intact),303730,Parathyrin.intact [Mass/volume] in Serum or Plasma,LOINC
YYY,77,진단검사,L3222^^01,Parathyriod hormone,303730,Parathyrin.intact [Mass/volume] in Serum or Plasma,LOINC
YYY,1,진단검사,L3255^^02,"Pepsinogen I/II, 이원",306440,Pepsinogen [Mass/volume] in Serum or Plasma,LOINC
YYY,1,진단검사,L3255^^01,"Pepsinogen I/II,이원",306440,Pepsinogen [Mass/volume] in Serum or Plasma,LOINC
ZZZ,6,진단검사,L7127^^02,"ACE(Angiotensin converting enzyme), 이원",307656,Angiotensin converting enzyme [Enzymatic activity/volume] in Serum or Plasma,LOINC
XXX,1,진단검사,L7127^^01,"ACE(Angiotensin converting enzyme), 이원",307656,Angiotensin converting enzyme [Enzymatic activity/volume] in Serum or Plasma,LOINC
XXX,145,진단검사,L2934^^02,"pH, pleural fluid",310670,pH of Pleural fluid,LOINC
XXX,35,진단검사,L2934^^01,"pH, pleural fluid",310670,pH of Pleural fluid,LOINC
XXX,5268,진단검사,L3004^^02,Phosphorus,320320,Phosphate [Mass/volume] in Serum or Plasma,LOINC
XXX,457,진단검사,L3004^^01,Phosphorus,320320,Phosphate [Mass/volume] in Serum or Plasma,LOINC
YYY,16,진단검사,L31060^^02,Phosphorus (random urine),320928,Phosphate [Mass/volume] in Urine,LOINC
YYY,1,진단검사,L3106^^01,"Phosphorus, 24h urine",321231,Phosphate [Mass/time] in 24 hour Urine,LOINC
YYY,200,진단검사,L3044^^02,Potassium,337180,Potassium [Moles/volume] in Serum or Plasma,LOINC
ZZZ,15,진단검사,L3044^^01,K (potassium),337180,Potassium [Moles/volume] in Serum or Plasma,LOINC
XXX,1032,진단검사,L31020^^02,Potassium (random urine),338978,Potassium [Moles/volume] in Urine,LOINC
XXX,87,진단검사,L31020^^01,"K (potassium), random urine",338978,Potassium [Moles/volume] in Urine,LOINC
XXX,71,진단검사,L3217^^02,Prolactin,344120,Prolactin [Mass/volume] in Serum or Plasma,LOINC
XXX,42,진단검사,L3217^^01,Prolactin,344120,Prolactin [Mass/volume] in Serum or Plasma,LOINC
YYY,85,진단검사,L3158^^02,"Protein, CSF",358000,Protein [Mass/volume] in Cerebral spinal fluid,LOINC
YYY,12,진단검사,L3158^^01,"Protein, CSF",358000,Protein [Mass/volume] in Cerebral spinal fluid,LOINC
YYY,11,진단검사,L3179^^02,"Protein, other fluid",358306,Protein [Mass/volume] in Body fluid,LOINC
ZZZ,1,진단검사,L3179^^01,"Protein, other fluid",358306,Protein [Mass/volume] in Body fluid,LOINC
ZZZ,148,진단검사,L3163^^02,"Protein, pleural fluid",358914,Protein [Mass/volume] in Pleural fluid,LOINC
XXX,37,진단검사,L3163^^01,"Protein, pleural fluid",358914,Protein [Mass/volume] in Pleural fluid,LOINC
XXX,67,진단검사,L3171^^02,"Protein, ascitic fluid",359217,Protein [Mass/volume] in Peritoneal fluid,LOINC
XXX,12,진단검사,L3171^^01,"Protein, ascitic fluid",359217,Protein [Mass/volume] in Peritoneal fluid,LOINC
XXX,5746,진단검사,L3009^^02,Total Protein,359798,Protein [Mass/volume] in Serum or Plasma,LOINC
YYY,233,진단검사,L3009^^01,Total Protein,359798,Protein [Mass/volume] in Serum or Plasma,LOINC
YYY,138,진단검사,L6105^^02,Protein,360709,Protein [Presence] in Urine,LOINC
YYY,27,진단검사,L6105^^01,Protein,360709,Protein [Presence] in Urine,LOINC
ZZZ,2190,진단검사,L31090^^02,Protein (random urine),361014,Protein [Mass/volume] in Urine,LOINC
XXX,455,진단검사,L31090^^01,"Protein, random urine",361014,Protein [Mass/volume] in Urine,LOINC
XXX,55,진단검사,L3109^^02,Protein (24hrs urine),361318,Protein [Mass/time] in 24 hour Urine,LOINC
XXX,5,진단검사,L3109^^01,"Protein, 24hr urine",361318,Protein [Mass/time] in 24 hour Urine,LOINC
XXX,6,진단검사,L32441^^02,"Renin Activity (stimulation), 이원",370904,Renin [Enzymatic activity/volume] in Plasma,LOINC
XXX,64,진단검사,L3043^^02,Sodium,383903,Sodium [Moles/volume] in Serum or Plasma,LOINC
YYY,9,진단검사,L3043^^01,Na (sodium),383903,Sodium [Moles/volume] in Serum or Plasma,LOINC
YYY,1554,진단검사,L31010^^02,Sodium (random urine),385392,Sodium [Moles/volume] in Urine,LOINC
YYY,393,진단검사,L31010^^01,"Na (sodium), random urine",385392,Sodium [Moles/volume] in Urine,LOINC
ZZZ,10,진단검사,L3101^^02,Sodium (24hrs urine),385698,Sodium [Moles/time] in 24 hour Urine,LOINC
XXX,2,진단검사,L3101^^01,"Na (sodium), 24h urine",385698,Sodium [Moles/time] in 24 hour Urine,LOINC
XXX,1,진단검사,L3249^^02,"HGH (growth hormone), 이원",388436,Somatotropin [Mass/volume] in Serum or Plasma,LOINC
XXX,177,진단검사,L7442^^02,"Vitamin B1, 이원",401404,Thiamine [Mass/volume] in Serum or Plasma,LOINC
XXX,87,진단검사,L7442^^01,"Vitamin B1, 이원",401404,Thiamine [Mass/volume] in Serum or Plasma,LOINC
XXX,5164,진단검사,L3205^^02,TSH,407367,Thyrotropin [Units/volume] in Blood,LOINC
YYY,878,진단검사,L3205^^01,Thyroid-stimulating hormone (TSH),407367,Thyrotropin [Units/volume] in Blood,LOINC
YYY,4993,진단검사,L3206^^02,Free T4,410716,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,LOINC
YYY,824,진단검사,L3206^^01,Free thyroxine (free T4),410716,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,LOINC
ZZZ,126,진단검사,L3203^^02,T4,411296,Thyroxine (T4) [Mass/volume] in Serum or Plasma,LOINC
XXX,10,진단검사,L3203^^01,Thyroxine (T4),411296,Thyroxine (T4) [Mass/volume] in Serum or Plasma,LOINC
XXX,22,진단검사,L3510^^01,"Transferrin, 이원",414338,Transferrin [Mass/volume] in Serum or Plasma,LOINC
XXX,15,진단검사,L3510^^02,"Transferrin(serum), 이원",414338,Transferrin [Mass/volume] in Serum or Plasma,LOINC
XXX,1,진단검사,L35101^^02,"Transferrin(spot urine), 이원",414611,Transferrin [Mass/volume] in Urine,LOINC
YYY,5792,진단검사,L3021^^02,Lipase,416438,Lipase [Enzymatic activity/volume] in Serum or Plasma,LOINC
YYY,1211,진단검사,L3021^^01,Lipase,416438,Lipase [Enzymatic activity/volume] in Serum or Plasma,LOINC
YYY,3943,진단검사,L3204^^02,T3,421278,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,LOINC
ZZZ,598,진단검사,L3204^^01,Triiodothyronine (T3),421278,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,LOINC
ZZZ,4725,진단검사,L3007^^02,Uric acid,432449,Urate [Mass/volume] in Serum or Plasma,LOINC
XXX,1216,진단검사,L3007^^01,Uric acid,432449,Urate [Mass/volume] in Serum or Plasma,LOINC
XXX,318,진단검사,L31070^^02,Uric acid (random urine),433331,Urate [Mass/volume] in Urine,LOINC
XXX,5,진단검사,L31070^^01,"Uric acid, random urine",433331,Urate [Mass/volume] in Urine,LOINC
XXX,1,진단검사,L3107^^01,"Uric acid, 24h urine",433635,Urate [Mass/time] in 24 hour Urine,LOINC
YYY,119,진단검사,L31130^^01,"Urea nitrogen, random urine",436648,Urea nitrogen [Mass/volume] in Urine,LOINC
YYY,116,진단검사,L31130^^02,Urea nitrogen (random urine),436648,Urea nitrogen [Mass/volume] in Urine,LOINC
YYY,34,진단검사,L3113^^02,Urea nitrogen (24hrs urine),436953,Urea nitrogen [Mass/time] in 24 hour Urine,LOINC
ZZZ,6,진단검사,L3113^^01,"Urea nitrogen, 24h urine",436953,Urea nitrogen [Mass/time] in 24 hour Urine,LOINC
XXX,197,진단검사,L3704^^02,"VMA(정량), 이원",446571,Vanillylmandelate [Mass/time] in 24 hour Urine,LOINC
XXX,8,진단검사,L3704^^01,"VMA(정량), 이원",446571,Vanillylmandelate [Mass/time] in 24 hour Urine,LOINC
XXX,35,진단검사,L8443^^01,Activated clotting time (open heart surgery),469217,Activated clotting time (ACT) of Blood by Coagulation assay,LOINC
XXX,30,진단검사,L8443^^02,ACT(open heart surgery),469217,Activated clotting time (ACT) of Blood by Coagulation assay,LOINC
XXX,6,진단검사,L8444^^01,Activated clotting time (ECMO),469217,Activated clotting time (ACT) of Blood by Coagulation assay,LOINC
YYY,3,진단검사,L221204^^02,"Factor IX assay, 이원",470100,Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay,LOINC
YYY,3,진단검사,L79715^^02,Factor assay (VIII),478195,Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay,LOINC
YYY,3,진단검사,L221206^^02,"Factor XI assay, 이원",484526,Coagulation factor XI activity actual/normal in Platelet poor plasma by Coagulation assay,LOINC
ZZZ,2,진단검사,L221207^^02,"Factor ⅩII assay, 이원",486657,Coagulation factor XII activity actual/normal in Platelet poor plasma by Coagulation assay,LOINC
XXX,22,진단검사,L2211^^01,"Thrombin time,이원",490582,Thrombin time,LOINC
XXX,9,진단검사,L2211^^02,"Thrombin time, 이원",490582,Thrombin time,LOINC
XXX,6011,진단검사,L2206^^02,Fibrinogen,495087,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,LOINC
XXX,251,진단검사,L2206^^01,Fibrinogen,495087,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,LOINC
XXX,45,진단검사,L221212^^02,"Anti-Xa LMW heparin, 이원",500840,LMW Heparin [Units/volume] in Platelet poor plasma by Chromogenic method,LOINC
YYY,4,진단검사,L3470^^02,Cyclosporine,591785,cycloSPORINE [Mass/volume] in Blood,LOINC
YYY,2,진단검사,L3470^^01,Cyclosporine,591785,cycloSPORINE [Mass/volume] in Blood,LOINC
YYY,1,진단검사,L341301^^02,"Methotrexate, 씨젠",691588,Methotrexate [Mass/volume] in Serum or Plasma,LOINC
ZZZ,2,진단검사,L3402^^02,"Phenobarbital, 이원",748200,PHENobarbital [Mass/volume] in Serum or Plasma,LOINC
XXX,3,진단검사,L34051^^02,"Phenytoin (Dilantin), 녹십자",755444,Phenytoin [Mass/volume] in Serum or Plasma,LOINC
XXX,11,진단검사,L3423^^02,Valproic acid(위탁전환),798543,Valproate [Mass/volume] in Serum or Plasma,LOINC
XXX,8,진단검사,L3423^^01,Valproic acid,798543,Valproate [Mass/volume] in Serum or Plasma,LOINC
XXX,66,진단검사,L3448^^01,"Vancomycin, peak (최고약물농도)",800065,Vancomycin [Mass/volume] in Serum or Plasma --peak,LOINC
YYY,21,진단검사,L3448^^02,"Vancomycin, peak",800065,Vancomycin [Mass/volume] in Serum or Plasma --peak,LOINC
YYY,579,진단검사,L3444^^02,"Vancomycin, trough",800674,Vancomycin [Mass/volume] in Serum or Plasma --trough,LOINC
YYY,75,진단검사,L3444^^01,"Vancomycin, trough (최저약물농도)",800674,Vancomycin [Mass/volume] in Serum or Plasma --trough,LOINC
